SDSS_NAME,SDSS_ID,RA,DEC,Z,MagAve,Sigma
020326.22-051020.5,7238-56660-0606,30.859268,-5.1723843,0.891,18.046737548387096,0.09239728730095459
005823.02-033826.4,7043-56576-0624,14.59592,-3.6406888,2.065,19.969630613496935,0.3818638012045633
010546.42-043340.9,7915-57309-0340,16.443431,-4.5613677,1.3421816,19.820232539603953,0.39695701976854275
014658.11+183508.7,7627-56933-0158,26.742158,18.585756,1.0942574,19.65296174418605,0.18408245649956273
022744.32+035633.5,8731-57416-0478,36.934705,3.9426515,1.7297934,18.94974652287582,0.12097340039219202
005105.20+064754.1,4420-55883-0792,12.771677,6.7983937,1.271,18.691850559902203,0.1540718903586529
003613.10+194054.5,7588-56903-0744,9.0546001,19.681807,1.1045963,20.142945939024383,0.2852685143998522
011755.11-043526.6,7046-56568-0694,19.479664,-4.5907303,2.459,19.335519801526733,0.2677582963139365
015520.35+241559.1,7690-57046-0127,28.8348,24.266426,1.8057734,18.88971708708708,0.10353413884426203
012154.23-012646.4,7877-56898-0724,20.475964,-1.4462276,1.1844145,20.18189457983194,0.32045111562388895
014702.03-085139.2,7183-56658-0718,26.75847,-8.8609097,1.094,20.07780094871795,0.33308800173871966
000555.67+101202.7,6182-56190-0056,1.4819784,10.200749,2.165,19.963544756578948,0.33582813535107653
004721.70+305447.1,6254-56268-0674,11.840442,30.913116,0.835,19.57881217600001,0.33919661990064676
021350.44-100300.4,0667-52163-0044,33.46022,-10.050108,1.5896,19.456504470355743,0.24041823979783583
014254.06+024323.3,4275-55501-0858,25.72526,2.7231542,2.243,19.811844048192757,0.29570842986530654
022751.80+013113.9,7827-57278-0184,36.965856,1.5205347,1.217,19.53132514814814,0.37425399902815515
000157.83+000844.9,7848-56959-0027,0.49096486,0.14582288,1.8259102,0,0
002536.72+045812.2,8747-57401-0669,6.4030345,4.9700803,0.9247909,20.029953238095246,0.2976760915279729
012156.20-022905.7,7877-56898-0322,20.484206,-2.484925,1.3244686,20.24130345794393,0.4388266548852444
001401.09-010607.1,4218-55479-0248,3.5045478,-1.1019941,2.103,19.831138384615393,0.3467966292277732
013837.20+234836.4,7687-57007-0892,24.655025,23.810134,0.9449891,0,0
020804.17-054116.5,4398-55946-0886,32.017403,-5.6879329,2.418,19.571264707423587,0.29606036664028196
011759.32+253151.8,7682-57415-0394,19.497183,25.531078,1.1516395,20.195152666666665,0.40719090396295077
001754.16+011123.3,0390-51900-0328,4.4757114,1.1898177,1.4647,19.290119596363645,0.1858567234139174
022104.94+025453.4,7830-57043-0941,35.270608,2.9148565,1.0523399,20.37572068421052,0.8183951848777429
004006.03+173236.2,7588-56903-0082,10.025125,17.543404,1.4377435,20.08277175776398,0.374029177480251
000601.47-031647.4,7898-57363-0728,1.5061394,-3.2798457,1.1885724,20.414158954545453,0.34455291667057225
020337.80+044938.0,4268-55483-0768,30.907522,4.8272453,0.937,18.414849935251794,0.10079397704236218
001015.14-095623.2,7168-56625-0128,2.5631169,-9.9397926,2.108,19.88015704487179,0.32395584443787956
012617.75+294927.3,6596-56331-0166,21.573985,29.824264,1.326,19.400551237931023,0.30802195480537214
024214.97-003131.8,6782-56572-0381,40.562396,-0.52552501,1.331,19.694229624999984,0.19695806409825112
024908.83-041217.0,7879-57359-0818,42.28681,-4.2047245,2.2075367,18.86954708333333,1.0214230408487748
010205.97+214840.3,7625-57011-0490,15.524914,21.811215,1.1330861,19.623860292263622,0.21651259093483285
005116.38-014419.9,7871-56902-0277,12.818251,-1.7388721,1.9272379,20.37871187628866,0.3490340027778815
014303.74-021541.8,7845-56980-0114,25.765623,-2.2616123,1.8368828,19.629420196078424,0.31872162744505655
011810.13+034026.7,4312-55511-0036,19.542249,3.6740823,2.167,19.621194930041156,0.3215842272599397
011410.26+240839.7,7681-57042-0690,18.542767,24.144381,2.0568392,20.527870181818184,0.38694573636896534
015535.92-043414.2,7051-56574-0971,28.899672,-4.5706175,0.907,20.135586551282053,0.34710380431313703
000211.49+055918.1,8740-57367-0804,0.54789984,5.9883805,2.42,20.27685404511278,0.19932437520081567
023443.72+030515.4,4263-55484-0920,38.682174,3.0876267,2.315,19.587383472527467,0.3153497517452739
001020.95+254433.5,6877-56544-0006,2.5873143,25.742642,2.15,19.858325926315796,0.24548565483447396
003255.21+181643.5,7588-56903-0430,8.2300523,18.27876,2.0655406,20.212159912751662,0.3176625526127392
024222.95-011527.6,6782-56273-0323,40.595649,-1.257695,1.8,19.915051424778756,0.3859038477681729
014721.75+223927.2,7638-56981-0253,26.840662,22.657579,1.0634419,19.404003226027378,0.22601135298648162
020348.32+205613.9,7632-56987-0890,30.951345,20.937209,1.163983,20.24440145108696,0.31711531988575314
013855.23+015411.2,7842-56899-0316,24.730127,1.9031142,1.751,20.294733266129033,0.32654821499990266
013045.07+042357.9,4310-55508-0842,22.687792,4.3994382,2.45,18.79976423209169,0.2147526653165182
014725.84-002716.1,0699-52202-0143,26.857673,-0.45448502,0.9827,19.205830704626347,0.17762226392639835
000614.80+260120.2,7664-57367-0571,1.5616972,26.0223,1.3085222,20.04100148387097,0.7808035353769514
013049.03-083113.0,0662-52147-0369,22.704313,-8.5202882,1.2215,19.297892726907634,0.4140609902286512
001424.79+234114.0,7663-57328-0318,3.6033016,23.687244,2.0334632,18.753697837748337,0.13145090188367425
